City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hosakote,IN,82.08,overcast clouds,14.2769,77.1699,AVN lodge
9,Victoria,HK,91.45,scattered clouds,22.2855,114.1577,Mini Central
16,Hithadhoo,MV,81.97,scattered clouds,-0.6,73.0833,Scoop Guest House
28,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
37,Ternate,ID,84.15,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
42,Namatanai,PG,83.8,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
48,Kapaa,US,82.38,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
57,Najran,SA,84.85,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
61,Bontang,ID,83.86,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
77,Butaritari,KI,81.97,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
85,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
94,Kulpahar,IN,84.42,broken clouds,25.3167,79.65,Peetambra Marriage Garden
95,Manokwari,ID,83.64,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
107,Shache,CN,80.35,broken clouds,38.4167,77.2406,Delong Hotel
110,Bengkulu,ID,81.46,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
125,Marsh Harbour,BS,83.21,clear sky,26.5412,-77.0636,Abaco Beach Resort
128,Kifri,IQ,89.47,light rain,34.6959,44.9661,بيت نزهان الحديدي
135,Kavaratti,IN,81.05,clear sky,10.5669,72.642,Green leaf
140,Gazanjyk,TM,89.19,clear sky,39.2446,55.5154,Railway motel
144,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
145,Cabo San Lucas,MX,80.06,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
151,Hobyo,SO,81.09,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
154,Lorengau,PG,83.3,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
167,Buala,SB,81.05,light rain,-8.145,159.5921,Maringe Lagoon Lodge
177,Honiara,SB,80.08,overcast clouds,-9.4333,159.95,Heritage Park Hotel
184,Baijiantan,CN,83.16,broken clouds,45.6333,85.1833,
185,Matay,EG,82.54,clear sky,28.419,30.7792,Nag Aespen
197,Gushi,CN,83.41,broken clouds,34.6425,109.5843,Wansheng Yuan Hotel
200,Taoudenni,ML,89.01,clear sky,22.6783,-3.9836,
221,Alyangula,AU,85.86,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
222,Cacoal,BR,81.79,overcast clouds,-11.4386,-61.4472,Hotel BR 364
226,Kavieng,PG,83.25,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
227,Salalah,OM,82.49,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
231,Nobres,BR,82.0,broken clouds,-14.7203,-56.3275,Hotel Portal Nobres
235,Bintulu,MY,91.81,scattered clouds,3.1667,113.0333,900 Boutique INN
249,Eyl,SO,83.41,overcast clouds,7.9803,49.8164,Amiin Hotel
250,Araouane,ML,86.81,few clouds,18.9048,-3.5265,
252,Qui Nhon,VN,83.62,overcast clouds,13.7667,109.2333,Seagull Hotel
253,Atar,MR,88.72,overcast clouds,20.5169,-13.0499,Oumou Elghoura
255,Pathein,MM,88.79,broken clouds,16.7833,94.7333,Pathein Hotel
257,San Patricio,US,82.29,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
271,Chiang Rai,TH,86.99,few clouds,19.9167,99.9167,Imsuk Homestay at Chiang Rai
275,Chodavaram,IN,87.64,overcast clouds,17.8333,82.95,Ganesh Defence Academy chodavadaram hostel
290,Komsomolskiy,UZ,83.12,clear sky,40.4272,71.7189,Ikathouse
295,Ambilobe,MG,84.9,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
296,Keningau,MY,90.23,overcast clouds,5.3378,116.1602,Sabindo Hotel
297,Yasothon,TH,89.04,overcast clouds,15.75,104.1333,"Dhooromeyen, Nornedang,Yasothon, Thailand"
301,Zhanakorgan,KZ,88.23,clear sky,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
305,Jieshi,CN,82.44,scattered clouds,22.8134,115.8257,Yuehai Hotel
315,Mangrol,IN,82.78,broken clouds,21.1167,70.1167,Hotel The Royal Honours
316,Mazatlan,MX,83.91,scattered clouds,23.2167,-106.4167,Hotel La Siesta
323,Rockport,US,82.45,clear sky,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
324,Culebra,PR,82.49,overcast clouds,18.303,-65.301,Palmetto Guesthouse
325,Son La,VN,82.81,overcast clouds,21.3167,103.9,Galaxy Grand Hotel
326,Myitkyina,MM,93.02,scattered clouds,25.3833,97.4,Shwe Phyu Hotel
329,Labuhan,ID,86.45,broken clouds,-6.8844,112.2051,DoubleFAG
332,Boyolangu,ID,82.13,overcast clouds,-8.1181,111.8935,Yos ega cv
337,Naze,JP,83.32,few clouds,28.3667,129.4833,Shishime Hotel
352,Weligama,LK,86.41,scattered clouds,5.9667,80.4167,Weligama Bay Resort
353,Kantang,TH,82.49,moderate rain,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
362,Meulaboh,ID,85.46,broken clouds,4.1363,96.1285,Kost Pria
366,Dingle,PH,86.95,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
371,Sakaraha,MG,80.91,clear sky,-22.9,44.5333,Le Relais
376,Taloda,IN,84.27,overcast clouds,21.5667,74.2167,Coldrink
379,Santa Rosa,PH,83.1,moderate rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
381,Samarai,PG,80.65,overcast clouds,-10.6167,150.6667,Nuli Sapi
394,Dhangadhi,NP,89.17,moderate rain,28.7079,80.5961,Hotel Devotee
400,Sola,VU,80.51,broken clouds,-13.8833,167.55,Leumerus Bungalows
406,Khambhat,IN,86.2,overcast clouds,22.3,72.6167,Anand
408,Nizwa,OM,91.63,clear sky,22.9333,57.5333,Orient Apartments
410,Riyadh,SA,87.94,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
411,Alice Springs,AU,85.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
412,Port Blair,IN,84.24,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
414,Bambanglipuro,ID,82.09,overcast clouds,-7.95,110.2833,Puri Brata
420,Pamanukan,ID,86.77,overcast clouds,-6.2842,107.8106,Paris Day Hotel Pamanukan
428,Hambantota,LK,89.94,few clouds,6.1241,81.1185,Bungalow 63
433,Dan Khun Thot,TH,91.33,overcast clouds,15.2085,101.7714,Sai Thong Hotel
436,Tura,IN,85.75,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
444,Dawlatabad,AF,88.23,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
445,Lingao,CN,81.68,light rain,19.9103,109.6859,Lingao Ditai Inn
451,Kupang,ID,93.78,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
456,Bandarbeyla,SO,85.3,broken clouds,9.4942,50.8122,JABIR HOTEL
457,Tabas,IR,89.11,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
479,Sabang,ID,81.86,overcast clouds,5.8933,95.3214,Hotel Citra
481,Charters Towers,AU,91.54,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
484,Sarangani,PH,84.43,broken clouds,5.4033,125.4636,JVL Inn and Cafeteria
487,Kahuta,PK,84.85,clear sky,33.5913,73.3868,Marhaba Sweets & Bakers
492,Mareeba,AU,81.48,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
496,Ambon,ID,87.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
512,Bodden Town,KY,81.93,few clouds,19.2833,-81.25,Will T Place
514,Mangan,IN,82.87,broken clouds,27.5167,88.5333,Hotel Mout View
528,Nawa,IN,85.84,scattered clouds,27.0167,75.0,"Sambharia Bhawan,Kuchaman Road,Nawa City"
536,Waingapu,ID,89.13,clear sky,-9.6567,120.2641,Pondok Wisata Elim
538,Balabac,PH,85.59,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
539,Yulara,AU,84.31,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
555,Simbahan,PH,83.8,overcast clouds,6.3032,120.5836,
558,Hami,CN,85.51,clear sky,42.8,93.45,Laoyutang Resort
559,Ewa Beach,US,80.55,clear sky,21.3156,-158.0072,Base Lodging
562,Garowe,SO,81.75,overcast clouds,8.4054,48.4845,Curubo Hotel
583,Ambulu,ID,86.2,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
584,Hirara,JP,85.86,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
587,Rudbar,AF,89.44,clear sky,30.15,62.6,
594,Xuddur,SO,81.55,scattered clouds,4.1213,43.8894,Banjanay Hotel
597,Sibolga,ID,80.67,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
600,Estelle,US,82.99,few clouds,29.8458,-90.1067,Ohio
601,Badin,PK,91.33,scattered clouds,24.656,68.8384,Muhammad Bin Qasim Boys Hostel Badin campus
607,Lugovoy,KZ,81.55,clear sky,42.9472,72.7644,Ж.Д Вокзал Луговая
618,Manihari,IN,91.27,scattered clouds,25.35,87.6333,Sarfaraz
619,Loa Janan,ID,90.39,overcast clouds,-0.583,117.095,Kost bu jono
623,Amuntai,ID,93.27,scattered clouds,-2.4177,115.2494,Hotel Balqis
630,Innisfail,AU,80.51,broken clouds,-17.5333,146.0333,Moondarra Motel
637,Cockburn Town,TC,81.93,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
649,Amahai,ID,81.37,light rain,-3.3333,128.9167,HOTEL ISABELA
652,Aksu,CN,83.64,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
653,Tiarei,PF,80.01,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
658,Pop,UZ,81.09,clear sky,40.8736,71.1089,Ramz Hotel Pap
659,Korla,CN,83.14,overcast clouds,41.7597,86.1469,Gulisitan Hotel
662,Porbandar,IN,85.98,scattered clouds,21.6422,69.6093,Lords Inn Porbandar
664,Mount Isa,AU,87.57,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
